"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "HTML", "JSON", "Markdown", "TypeScript JSX", "Less", "YAML", "comment", "blank", "total"
"c:\programs\video-roll\VideoRoll\.eslintrc.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, 0, 0, -5, -1, -31
"c:\programs\video-roll\VideoRoll\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 0, -64, 0, 0, 0, 0, -32, -96
"c:\programs\video-roll\VideoRoll\README-zh_CN.md", "Markdown", 0, 0, 0, 0, 0, -84, 0, 0, 0, -5, -35, -124
"c:\programs\video-roll\VideoRoll\README.md", "Markdown", 0, 0, 0, 0, 0, -85, 0, 0, 0, -5, -36, -126
"c:\programs\video-roll\VideoRoll\__tests__\rotate.test.ts", "TypeScript", 0, 0, -110, 0, 0, 0, 0, 0, 0, -13, -23, -146
"c:\programs\video-roll\VideoRoll\jest.config.ts", "TypeScript", 0, 0, -9, 0, 0, 0, 0, 0, 0, -5, -2, -16
"c:\programs\video-roll\VideoRoll\package.json", "JSON", 0, 0, 0, 0, -19, 0, 0, 0, 0, -73, 0, -92
"c:\programs\video-roll\VideoRoll\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, -5386, 0, -717, -6103
"c:\programs\video-roll\VideoRoll\src\background\index.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, 0, 0, -13, -12, -55
"c:\programs\video-roll\VideoRoll\src\inject\VideoRoll.ts", "TypeScript", 0, 0, -334, 0, 0, 0, 0, 0, 0, -91, -100, -525
"c:\programs\video-roll\VideoRoll\src\inject\index.ts", "TypeScript", 0, 0, -41, 0, 0, 0, 0, 0, 0, -10, -4, -55
"c:\programs\video-roll\VideoRoll\src\inject\jungle.js", "JavaScript", -167, 0, 0, 0, 0, 0, 0, 0, 0, -44, -37, -248
"c:\programs\video-roll\VideoRoll\src\inject\panel\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\programs\video-roll\VideoRoll\src\inject\update.ts", "TypeScript", 0, 0, -151, 0, 0, 0, 0, 0, 0, -23, -37, -211
"c:\programs\video-roll\VideoRoll\src\manifest\manifest.chromium.json", "JSON", 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, -1, -19
"c:\programs\video-roll\VideoRoll\src\manifest\manifest.firefox.json", "JSON", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, -1, -22
"c:\programs\video-roll\VideoRoll\src\manifest\manifest.json", "JSON", 0, 0, 0, 0, -28, 0, 0, 0, 0, -6, 0, -34
"c:\programs\video-roll\VideoRoll\src\popup\content\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -62, 0, 0, -33, -11, -106
"c:\programs\video-roll\VideoRoll\src\popup\content\components\About\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -6
"c:\programs\video-roll\VideoRoll\src\popup\content\components\About\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -56, 0, 0, -5, -3, -64
"c:\programs\video-roll\VideoRoll\src\popup\content\components\Filter\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, -4, -24
"c:\programs\video-roll\VideoRoll\src\popup\content\components\Filter\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -98, 0, 0, -5, -8, -111
"c:\programs\video-roll\VideoRoll\src\popup\content\components\Flip\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"c:\programs\video-roll\VideoRoll\src\popup\content\components\Flip\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -22, 0, 0, -5, -4, -31
"c:\programs\video-roll\VideoRoll\src\popup\content\components\Focus\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -4, -20
